,State,County,CENSUS2010POP,All Ages in Poverty Percent LB 90%
1,Alabama,Autauga County,54571.0,11.5
2,Alabama,Baldwin County,182265.0,8.1
3,Alabama,Barbour County,27457.0,25.8
4,Alabama,Bibb County,22915.0,17.1
5,Alabama,Blount County,57322.0,10.6
6,Alabama,Bullock County,10914.0,34.9
7,Alabama,Butler County,20947.0,19.7
8,Alabama,Calhoun County,118572.0,16.9
9,Alabama,Chambers County,34215.0,14.5
10,Alabama,Cherokee County,25989.0,12.5
11,Alabama,Chilton County,43643.0,14.1
12,Alabama,Choctaw County,13859.0,17.0
13,Alabama,Clarke County,25833.0,18.8
14,Alabama,Clay County,13932.0,13.9
15,Alabama,Cleburne County,14972.0,12.6
16,Alabama,Coffee County,49948.0,11.4
17,Alabama,Colbert County,54428.0,11.2
18,Alabama,Conecuh County,13228.0,18.4
19,Alabama,Coosa County,11539.0,14.4
20,Alabama,Covington County,37765.0,16.7
21,Alabama,Crenshaw County,13906.0,15.1
22,Alabama,Cullman County,80406.0,12.1
23,Alabama,Dale County,50251.0,13.3
24,Alabama,Dallas County,43820.0,25.5
25,Alabama,DeKalb County,71109.0,18.9
26,Alabama,Elmore County,79303.0,8.9
27,Alabama,Escambia County,38319.0,19.2
28,Alabama,Etowah County,104430.0,15.1
29,Alabama,Fayette County,17241.0,19.7
30,Alabama,Franklin County,31704.0,15.6
31,Alabama,Geneva County,26790.0,17.5
32,Alabama,Greene County,9045.0,23.0
33,Alabama,Hale County,15760.0,20.3
34,Alabama,Henry County,17302.0,14.1
35,Alabama,Houston County,101547.0,14.5
36,Alabama,Jackson County,53227.0,17.0
37,Alabama,Jefferson County,658466.0,14.8
38,Alabama,Lamar County,14564.0,13.4
39,Alabama,Lauderdale County,92709.0,11.7
40,Alabama,Lawrence County,34339.0,16.2
41,Alabama,Lee County,140247.0,16.9
42,Alabama,Limestone County,82782.0,9.1
43,Alabama,Lowndes County,11299.0,19.3
44,Alabama,Macon County,21452.0,23.7
45,Alabama,Madison County,334811.0,10.5
46,Alabama,Marengo County,21027.0,19.1
47,Alabama,Marion County,30776.0,16.7
