State,Confirmed,Past_Confirmed,CENSUS2010POP
South Dakota,41.0,30.0,814180.0
Florida,1412.0,1227.0,18801310.0
Colorado,1021.0,723.0,5029196.0
Alaska,58.0,56.0,710231.0
Oklahoma,248.0,164.0,3751351.0
New Mexico,113.0,100.0,2059179.0
New Hampshire,137.0,108.0,1316470.0
Florida,1682.0,1412.0,18801310.0
Rhode Island,165.0,132.0,1052567.0
Ohio,1137.0,868.0,11536504.0
Louisiana,1388.0,1172.0,4533372.0
New York,37877.0,30841.0,19378102.0
Virginia,293.0,254.0,7994802.0
Alabama,242.0,196.0,4779736.0
South Carolina,424.0,342.0,4625364.0
New York,44876.0,37877.0,19378102.0
Minnesota,396.0,344.0,5303925.0
Nevada,323.0,278.0,2700551.0
California,3899.0,2998.0,37253956.0
Louisiana,2744.0,2304.0,4533372.0
Pennsylvania,2345.0,1795.0,12702379.0
Hawaii,106.0,95.0,1360301.0
Nebraska,71.0,66.0,1826341.0
Minnesota,344.0,286.0,5303925.0
New Jersey,6876.0,4402.0,8791894.0
Arizona,508.0,401.0,6392017.0
Nebraska,82.0,74.0,1826341.0
Delaware,104.0,68.0,897934.0
Montana,90.0,65.0,989415.0
Pennsylvania,946.0,698.0,12702379.0
Massachusetts,2417.0,1838.0,6547629.0
Hawaii,95.0,91.0,1360301.0
Delaware,163.0,130.0,897934.0
Connecticut,875.0,618.0,3574097.0
Wyoming,44.0,29.0,563626.0
Massachusetts,3240.0,2417.0,6547629.0
Ohio,567.0,443.0,11536504.0
Virginia,466.0,396.0,7994802.0
Arizona,326.0,235.0,6392017.0
Massachusetts,1838.0,1159.0,6547629.0
New Hampshire,108.0,101.0,1316470.0
Alaska,41.0,34.0,710231.0
Mississippi,485.0,377.0,2967297.0
New Mexico,100.0,83.0,2059179.0
New Hampshire,158.0,137.0,1316470.0
Maryland,349.0,290.0,5773552.0
Georgia,1026.0,772.0,9687653.0
North Carolina,495.0,353.0,9535483.0
Connecticut,1291.0,1012.0,3574097.0
Maine,118.0,107.0,1328361.0
New Hampshire,101.0,101.0,1316470.0
Idaho,205.0,146.0,1567582.0
Washington,2591.0,2328.0,6724540.0
Virginia,607.0,466.0,7994802.0
Ohio,704.0,567.0,11536504.0
New York,25681.0,20884.0,19378102.0
Georgia,1247.0,1026.0,9687653.0
Nebraska,66.0,51.0,1826341.0
New Mexico,136.0,113.0,2059179.0
Texas,1229.0,955.0,25145561.0
Utah,298.0,257.0,2763885.0
Oklahoma,106.0,81.0,3751351.0
California,4657.0,3899.0,37253956.0
Kansas,206.0,172.0,2853118.0
Connecticut,1012.0,875.0,3574097.0
Maine,142.0,118.0,1328361.0
Missouri,257.0,187.0,5988927.0
Mississippi,320.0,249.0,2967297.0
Iowa,146.0,124.0,3046355.0
New Mexico,113.0,113.0,2059179.0
Texas,1563.0,1229.0,25145561.0
Washington,2328.0,2221.0,6724540.0
California,2538.0,2108.0,37253956.0
Vermont,158.0,125.0,625741.0
Idaho,81.0,68.0,1567582.0
West Virginia,22.0,16.0,1852994.0
Iowa,179.0,146.0,3046355.0
West Virginia,76.0,52.0,1852994.0
Wisconsin,621.0,481.0,5686986.0
North Dakota,51.0,45.0,672591.0
Mississippi,579.0,485.0,2967297.0
Kentucky,301.0,247.0,4339367.0
South Carolina,424.0,424.0,4625364.0
New Jersey,4402.0,3675.0,8791894.0
Oregon,316.0,266.0,3831074.0
Indiana,979.0,645.0,6483802.0
Tennessee,772.0,614.0,6346105.0
Florida,2900.0,2357.0,18801310.0
Tennessee,916.0,772.0,6346105.0
South Carolina,542.0,424.0,4625364.0
North Carolina,887.0,738.0,9535483.0
Illinois,3024.0,2538.0,12830632.0
Oklahoma,164.0,106.0,3751351.0
Nevada,420.0,323.0,2700551.0
Indiana,477.0,368.0,6483802.0
Rhode Island,203.0,165.0,1052567.0
Washington,3207.0,2591.0,6724540.0
Colorado,723.0,704.0,5029196.0
Arkansas,335.0,280.0,2915918.0
Wisconsin,728.0,621.0,5686986.0
Texas,1937.0,1563.0,25145561.0
Kansas,100.0,84.0,2853118.0
Massachusetts,1159.0,777.0,6547629.0
Vermont,95.0,75.0,625741.0
Michigan,1793.0,1329.0,9883640.0
Illinois,1865.0,1537.0,12830632.0
Rhode Island,132.0,124.0,1052567.0
West Virginia,39.0,22.0,1852994.0
Maryland,425.0,349.0,5773552.0
Delaware,130.0,119.0,897934.0
Kentucky,162.0,123.0,4339367.0
Wyoming,29.0,26.0,563626.0
Michigan,2296.0,1793.0,9883640.0
Alabama,587.0,517.0,4779736.0
Washington,3477.0,3207.0,6724540.0
Alabama,381.0,242.0,4779736.0
Indiana,645.0,477.0,6483802.0
Colorado,1433.0,1430.0,5029196.0
North Carolina,738.0,590.0,9535483.0
Missouri,354.0,257.0,5988927.0
North Dakota,68.0,51.0,672591.0
Montana,65.0,51.0,989415.0
Kansas,172.0,134.0,2853118.0
Hawaii,91.0,90.0,1360301.0
Delaware,119.0,104.0,897934.0
Colorado,1430.0,1021.0,5029196.0
Arkansas,219.0,192.0,2915918.0
Michigan,3634.0,2845.0,9883640.0
Nevada,278.0,245.0,2700551.0
Georgia,2000.0,1525.0,9687653.0
Utah,472.0,396.0,2763885.0
Michigan,2845.0,2296.0,9883640.0
Iowa,235.0,179.0,3046355.0
Kentucky,247.0,197.0,4339367.0
Illinois,2538.0,1865.0,12830632.0
Virginia,396.0,293.0,7994802.0
North Dakota,36.0,30.0,672591.0
Kansas,134.0,100.0,2853118.0
Louisiana,2304.0,1795.0,4533372.0
Idaho,146.0,91.0,1567582.0
Oklahoma,322.0,248.0,3751351.0
Rhode Island,124.0,106.0,1052567.0
Alaska,56.0,41.0,710231.0
South Dakota,46.0,41.0,814180.0
Pennsylvania,1795.0,1260.0,12702379.0
Mississippi,377.0,320.0,2967297.0
Florida,2357.0,1682.0,18801310.0
Arizona,401.0,326.0,6392017.0
Texas,955.0,758.0,25145561.0
Nebraska,74.0,71.0,1826341.0
Louisiana,1795.0,1388.0,4533372.0
Vermont,184.0,158.0,625741.0
New York,30841.0,25681.0,19378102.0
Iowa,124.0,105.0,3046355.0
Oregon,210.0,191.0,3831074.0
North Dakota,45.0,36.0,672591.0
Wisconsin,481.0,425.0,5686986.0
Alaska,34.0,30.0,710231.0
Arkansas,280.0,219.0,2915918.0
Utah,396.0,340.0,2763885.0
Minnesota,261.0,234.0,5303925.0
Hawaii,90.0,56.0,1360301.0
Wyoming,70.0,53.0,563626.0
Pennsylvania,1260.0,946.0,12702379.0
South Dakota,58.0,46.0,814180.0
New Jersey,3675.0,2844.0,8791894.0
Maine,168.0,155.0,1328361.0
California,2998.0,2538.0,37253956.0
Montana,109.0,90.0,989415.0
Maine,155.0,142.0,1328361.0
Minnesota,286.0,261.0,5303925.0
South Dakota,30.0,28.0,814180.0
Arizona,665.0,508.0,6392017.0
New Jersey,8825.0,6876.0,8791894.0
South Carolina,342.0,298.0,4625364.0
Maryland,775.0,583.0,5773552.0
Nevada,536.0,420.0,2700551.0
Connecticut,618.0,415.0,3574097.0
Oregon,266.0,210.0,3831074.0
Utah,340.0,298.0,2763885.0
Idaho,91.0,81.0,1567582.0
Vermont,125.0,95.0,625741.0
Oregon,416.0,316.0,3831074.0
North Carolina,590.0,495.0,9535483.0
Missouri,520.0,354.0,5988927.0
Kentucky,197.0,162.0,4339367.0
Alabama,517.0,381.0,4779736.0
Georgia,1525.0,1247.0,9687653.0
Maryland,583.0,425.0,5773552.0
Missouri,666.0,520.0,5988927.0
Tennessee,1097.0,916.0,6346105.0
Wisconsin,926.0,728.0,5686986.0
Ohio,868.0,704.0,11536504.0
Montana,51.0,34.0,989415.0
Indiana,368.0,270.0,6483802.0
Illinois,1537.0,1285.0,12830632.0
Tennessee,1318.0,1097.0,6346105.0
West Virginia,52.0,39.0,1852994.0
Wyoming,53.0,44.0,563626.0
Arkansas,381.0,335.0,2915918.0
